zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd,pp_growth
1701,0.12887388769561214,7.395925597874226,-0.2961030991101565,-0.2961030991101565,-0.36821110770174903,-0.15648972077324333,-1.328609388839681,0.2071187480822338,0.2071187480822338,-0.21172138692850567,-1.8599562363238513,6.54911838790932,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.4712507048132498,0.4293097383555471,2258,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,31646.352617575754,-8.40907462423317
1752,-1.5854640628145762,-3.3034111310592458,-2.290114757398832,-2.290114757398832,-1.4747332393799073,-2.811052949466479,-3.1238779174147218,-4.796657942419972,-4.796657942419972,-2.773303805113751,0.9205983889528193,1.8081073199183437,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273806,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44580766869383986,0.3961132621200474,2785,1904.399747889119,42.349617,-71.547214,-71.058701,42.3549,40192.741529544925,-0.8875089309655244
1760,-0.7745868404127401,-1.5725806451612903,-0.9885070328010961,-0.9885070328010961,-0.4390257543133581,-0.29641229272112074,-0.7661290322580645,-0.10486283940605687,-0.10486283940605687,-0.14540980397639888,-4.585679806918745,5.329027048849415,017,25,32786,15.814033976833977,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.48905333326262596,0.4478541571933037,2480,2414.56375670613,42.284822,-71.348811,-71.058701,42.3549,25120.736916212853,-9.91470685576816
1801,-0.8845610644465919,-2.702038811102923,-1.2921529274759038,-1.2921529274759038,-0.49059689288634506,-0.8077504398027702,-2.210759027266028,-0.941549592408137,-0.941549592408137,-0.7408508635000868,-7.090173685462766,2.27748082732977,017,25,38903,12.963816602316601,12.652292664092665,3074.778700812629,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",40359,91,0.44030035637336545,0.3950957696911199,4071,3189.856658512117,42.488659,-71.154425,-71.058701,42.3549,16840.09371248854,-9.367654512792535
1852,-2.3640661938534278,-7.490909090909091,-4.528312507035912,-4.528312507035912,-2.065743555105257,-1.6689181582798605,-0.8,-3.5503208375548803,-3.5503208375548803,-1.7026905324777666,5.6850483229107445,2.6682478505781204,017,25,33508,5.195406563706563,4.953185328185328,6764.939686251583,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35532,909,0.39410574688448313,0.3440668989376039,1375,7173.565624086525,42.631849,-71.295785,-71.058701,42.3549,36457.917864587165,3.016800472332624
1902,-2.3831107350778593,0.12422360248447205,-4.961624463649,-4.961624463649,-2.260228440200641,-1.8815092363167543,0,-4.13367982111561,-4.13367982111561,-1.8049596099997987,5.293580772741102,2.8526148969889067,009,25,45139,2.4940258687258687,2.403045945945946,18784.076965382897,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",49641,1298,0.3522269221298554,0.30498812663099106,805,20657.53261345117,42.471039,-70.941535,-71.058701,42.3549,16120.659108750837,2.440965875752195
1960,-0.9158622786349472,-1.243144424131627,-1.693965189632895,-1.693965189632895,-0.7011476780421069,-0.5225355324162043,-2.669104204753199,-0.596640571558866,-0.596640571558866,-0.3116211902409364,2.278355621594849,6.198347107438017,009,25,50944,16.561284942084942,15.997102316602316,3184.5767434473837,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",52628,168,0.3967529329936401,0.3509614072787802,2735,3289.8458082237144,42.534202,-70.969734,-71.058701,42.3549,21255.701828683035,-3.919991485843168
1970,-0.9783189645156043,-1.2442396313364055,-1.6870773592359352,-1.6870773592359352,-0.7157297887667604,-0.460112007064346,-1.6589861751152075,-0.657634838379848,-0.657634838379848,-0.3462459043059977,3.753086419753086,9.820485744456176,009,25,41109,13.591002316602317,8.108971042471042,5069.570452858946,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",43033,158,0.4090941227425992,0.36798425284270897,2170,5306.838534089348,42.524435,-70.870859,-71.058701,42.3549,24378.46171671662,-6.06739932470309
2108,-21.531207903008532,-29.05942910622368,-15.660080826223618,-15.660080826223618,-11.495285136955545,-3.322855859901212,-4.117922321010763,-4.355635383924563,-4.355635383924563,-2.6268522676246073,-21.116138763197586,13.08139534883721,025,25,3825,0.1370023166023166,0.1370023166023166,27919.23592871073,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",4454,479,0.5307279958214993,0.4864549781917653,2137,32510.39917032094,42.357767,-71.064848,-71.058701,42.3549,597.9574284522591,-34.197534112034795
2109,-1.766109785202864,2.902277736958119,-6.563245823389022,-6.563245823389022,6.539379474940334,-10.763723150357995,-9.294636296840558,-10.405727923627685,-10.405727923627685,-10.787589498806682,-17.061611374407583,4.71033178614406,025,25,3771,0.2866196911196911,0.173611583011583,21720.900959404342,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",4190,885,0.5558659738113921,0.5055290698304645,2722,24134.33439933816,42.367223,-71.050633,-71.058701,42.3549,1523.883932161176,-21.771943160551643
